epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,48962.5,1.04346,1.37395,1.55095,0.65746,0.47181,0.51311,0.34734,0.9454,1.2742,1.28834,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,50056.9,1.04152,1.36934,1.54713,0.65697,0.47329,0.51378,0.34804,0.94381,1.27158,1.2868,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,51150.4,1.04149,1.3599,1.54495,0.66221,0.47261,0.51445,0.34852,0.94355,1.2695,1.2861,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,52244.6,1.03481,1.3639,1.54543,0.66253,0.47195,0.51439,0.34902,0.94214,1.26774,1.28517,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,53338.1,1.03522,1.35654,1.54639,0.66301,0.4726,0.51499,0.34965,0.94154,1.26585,1.28503,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,54433.8,1.02749,1.35146,1.54711,0.66867,0.47142,0.51579,0.35048,0.93984,1.26332,1.28348,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,55527.3,1.02872,1.35135,1.53905,0.66852,0.47152,0.51625,0.3509,0.93865,1.26158,1.28298,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,56622.2,1.02889,1.34007,1.53885,0.66881,0.47371,0.51714,0.35149,0.93854,1.26021,1.28389,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,57717,1.01827,1.33786,1.53832,0.67421,0.4724,0.51822,0.35226,0.938,1.25802,1.28423,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
53,58810.5,1.01832,1.33369,1.53161,0.67422,0.47322,0.51899,0.35297,0.93712,1.25544,1.28341,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
54,59905.9,1.03121,1.34214,1.53789,0.67525,0.47428,0.52024,0.35386,0.93643,1.25237,1.28302,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697
55,60999.7,1.02079,1.33118,1.5294,0.67447,0.47499,0.52065,0.35441,0.93546,1.2486,1.28199,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
56,62094.2,1.02549,1.32823,1.52945,0.67367,0.4757,0.52151,0.35494,0.9343,1.24572,1.28103,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
57,63186.6,1.01862,1.32851,1.53069,0.67051,0.47755,0.52235,0.356,0.93363,1.24308,1.28074,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
58,64278.8,1.02031,1.32262,1.53043,0.6721,0.47782,0.52349,0.35675,0.93271,1.24096,1.27971,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
59,65372.2,1.01875,1.32162,1.52484,0.67575,0.47753,0.52438,0.3577,0.93077,1.23967,1.27701,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
60,66465.4,1.01991,1.31929,1.53064,0.67593,0.47817,0.52541,0.35842,0.93033,1.23609,1.27604,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488
61,67558.9,1.01208,1.30876,1.52718,0.68165,0.47743,0.52632,0.35938,0.92933,1.23281,1.27433,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
62,68653.2,1.01692,1.31922,1.52472,0.68224,0.47773,0.52717,0.36033,0.92827,1.22888,1.27346,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395
63,69747.4,1.01479,1.3179,1.52606,0.68425,0.47812,0.52796,0.36126,0.92754,1.22382,1.27273,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
64,70839.9,1.00843,1.30679,1.52209,0.68862,0.47669,0.52889,0.36215,0.92588,1.21966,1.27129,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
65,71933.9,1.01718,1.31511,1.52423,0.69079,0.47566,0.52955,0.3631,0.92489,1.21548,1.27062,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
66,73028.7,1.01757,1.31178,1.52017,0.68977,0.47694,0.53015,0.36384,0.92224,1.21458,1.26804,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
67,74123,1.01082,1.30334,1.51994,0.69127,0.47674,0.53117,0.3648,0.92062,1.21224,1.26607,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
68,75214.7,1.0044,1.29896,1.51753,0.69278,0.47635,0.5327,0.36577,0.91913,1.20968,1.26433,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079
69,76303.2,1.00206,1.29949,1.5195,0.69528,0.47575,0.53295,0.36646,0.91701,1.20557,1.26196,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
70,77396.3,1.00272,1.29745,1.51434,0.69549,0.4761,0.5343,0.36724,0.91453,1.20254,1.25943,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
71,78488.8,1.00827,1.2968,1.51824,0.69613,0.47694,0.53436,0.36807,0.91304,1.19973,1.25819,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
